thete,coincident,time,rate,error coin,error rate,rel,coincident 1,time 1,rate 1,error coin 1,error rate 1,rel 1,tot rate
-90,500,192,2.604166667,22.36067977,0.116461874,4.472135955,22528,18.71,1204.061999,150.0933043,8.022090022,0.666252239,0.002162818
-80,428,181,2.364640884,20.68816087,0.114299231,4.833682445,26732,22.14,1207.407407,163.4992355,7.384789317,0.611623655,0.001958445
-70,422,160,2.6375,20.54263858,0.128391491,4.867923835,24002,20.31,1181.782373,154.9257887,7.628054588,0.64547033,0.002231798
-60,442,170,2.6,21.02379604,0.123669388,4.756514942,19488,16.15,1206.687307,139.5994269,8.643927364,0.716335319,0.002154659
-50,418,176,2.375,20.4450483,0.116165047,4.89115988,16522,14.09,1172.604684,128.5379321,9.122635354,0.777980463,0.002025406
-40,426,159,2.679245283,20.63976744,0.129809858,4.845015831,11804,9.83,1200.813835,108.6462148,11.05251423,0.920418628,0.002231191
-35,422,182,2.318681319,20.54263858,0.112871641,4.867923835,16040,13.43,1194.341028,126.6491216,9.43031434,0.789583052,0.00194139
-30,482,162,2.975308642,21.9544984,0.135521595,4.554875187,16652,14.04,1186.039886,129.0426286,9.191070414,0.774937717,0.002508608
-25,484,168,2.880952381,22,0.130952381,4.545454545,18054,15.29,1180.771746,134.3651741,8.787781168,0.744240468,0.002439889
-20,486,171,2.842105263,22.04540769,0.128920513,4.536092116,19128,16.63,1150.210463,138.304013,8.316537159,0.723044819,0.002470944
-15,472,147,3.210884354,21.72556098,0.147792932,4.602873089,20196,17.34,1164.705882,142.1126314,8.195653483,0.703667218,0.00275682
-10,506,171,2.959064327,22.49444376,0.131546455,4.445542245,19352,16.91,1144.411591,139.1114661,8.226579899,0.718848006,0.002585664
-5,466,176,2.647727273,21.58703314,0.122653597,4.632410546,16700,14.47,1154.111956,129.2284798,8.930786443,0.773823233,0.002294168
0,504,201,2.507462687,22.44994432,0.111691265,4.454354032,17068,14.83,1150.910317,130.644556,8.809477812,0.765435645,0.002178678
5,508,196,2.591836735,22.53885534,0.11499416,4.436782547,12904,11.21,1151.115076,113.5957746,10.13343216,0.880314434,0.002251588
10,428,150,2.853333333,20.68816087,0.137921072,4.833682445,19510,16.92,1153.073286,139.6782016,8.25521286,0.715931325,0.002474546
15,462,172,2.686046512,21.49418526,0.124966193,4.652421052,20128,17.5,1150.171429,141.8731828,8.107039018,0.704854843,0.002335344
20,422,150,2.813333333,20.54263858,0.136950924,4.867923835,12344,10.65,1159.061033,111.1035553,10.43225871,0.900061206,0.002427252
25,424,150,2.826666667,20.59126028,0.137275069,4.856429312,17152,14.66,1169.986357,130.9656443,8.93353645,0.763559027,0.002415983
30,422,145,2.910344828,20.54263858,0.14167337,4.867923835,14550,12.55,1159.36255,120.6233808,9.611424766,0.829026672,0.002510297
35,538,198,2.717171717,23.19482701,0.117145591,4.311306136,12490,10.27,1216.163583,111.7586686,10.88205147,0.894785177,0.002234216
40,422,157,2.687898089,20.54263858,0.130844832,4.867923835,40384,33.47,1206.57305,200.957707,6.004114341,0.497617143,0.002227713
50,450,178,2.528089888,21.21320344,0.1191753,4.714045208,13922,11.57,1203.284356,117.9915251,10.19805749,0.847518497,0.002100991
60,422,161,2.621118012,20.54263858,0.127594028,4.867923835,14958,12.44,1202.411576,122.3029027,9.831423044,0.817642082,0.002179884
70,434,147,2.952380952,20.83266666,0.141718821,4.800153607,18226,14.84,1228.167116,135.0037037,9.097284613,0.740720419,0.002403892
80,582,221,2.633484163,24.12467616,0.109161431,4.145133361,17768,14.54,1222.008253,133.2966616,9.16758333,0.750206335,0.002155046
90,446,156,2.858974359,21.11871208,0.135376359,4.735137238,29628,24.48,1210.294118,172.1278595,7.031366808,0.580963479,0.002362215
