angle[rad],angle[deg],coincidence,time[s],coin error,ratio,ratio error,relative error %,ratio error norm,relative error norm
1.570796327,90,12,120,3.464101615,0.1,0.028867513,28.86751346,0.005654762,0.001632389
1.396263402,80,10,139,3.16227766,0.071942446,0.022750199,31.6227766,0.004068174,0.00128647
1.221730476,70,22,171,4.69041576,0.128654971,0.027429332,21.32007164,0.007275132,0.001551063
1.047197551,60,8,171,2.828427125,0.046783626,0.01654051,35.35533906,0.002645503,0.000935326
0.523598776,30,45,304,6.708203932,0.148026316,0.02206646,14.90711985,0.008370536,0.001247806
0.34906585,20,416,204,20.39607805,2.039215686,0.099980775,4.902903378,0.115312792,0.005653675
0.261799388,15,824,135,28.70540019,6.103703704,0.212632594,3.483665071,0.345149912,0.012023867
0.174532925,10,610,59,24.69817807,10.33898305,0.418613188,4.048881651,0.584644875,0.023671579
0.13962634,8,920,78,30.33150178,11.79487179,0.388865407,3.296902367,0.666971917,0.021989413
0.122173048,7,750,62,27.38612788,12.09677419,0.44171174,3.651483717,0.684043778,0.024977747
0.087266463,5,1038,64,32.21800739,16.21875,0.503406365,3.103854276,0.917131696,0.028466431
0.052359878,3,1080,67,32.86335345,16.11940299,0.490497813,3.042903097,0.911513859,0.027736483
0.017453293,1,1006,59,31.71750305,17.05084746,0.537584798,3.152833306,0.964184826,0.03039914
0,0,1008,57,31.74901573,17.68421053,0.557000276,3.149703942,1,0.031497039
-0.017453293,-1,938,56,30.62678566,16.75,0.546906887,3.265115742,0.947172619,0.030926282
-0.052359878,-3,974,61,31.20897307,15.96721311,0.511622509,3.204206681,0.902907884,0.028931035
-0.087266463,-5,942,60,30.69201851,15.7,0.511533642,3.258176062,0.887797619,0.02892601
-0.122173048,-7,800,58,28.28427125,13.79310345,0.487659849,3.535533906,0.779967159,0.027576003
-0.13962634,-8,1064,86,32.61901286,12.37209302,0.379290847,3.065696697,0.699612403,0.021447994
-0.174532925,-10,858,86,29.29163703,9.976744186,0.340600431,3.41394371,0.564161129,0.019260143
-0.261799388,-15,554,104,23.53720459,5.326923077,0.226319275,4.248592887,0.301224817,0.012797816
-0.34906585,-20,446,304,21.11871208,1.467105263,0.069469448,4.735137238,0.082961309,0.003928332
-0.436332313,-25,76,326,8.717797887,0.233128834,0.026741711,11.47078669,0.01318288,0.00151218
